name,slug,category,province,regency,district,village,address,latitude,longitude,price_min,price_max,is_free,opening_time,closing_time,is_open_24h,days_open,facilities,images,rating,review_count,popularity,visitor_count,safety,cleanliness,beauty,road_access,crowd_level,hidden_gem_score,phone,is_trending,is_featured,_real
Curug Muara Jaya,curug-muara-jaya,air-terjun,Jawa Barat,Majalengka,Kecamatan Lebak,Kampung Lebak,"Curug Muara Jaya, Kabupaten Majalengka, Provinsi Jawa Barat, Indonesia",-6.912636,108.352479,0,,True,06:00,19:00,False,fri|mon|sat|sun|thu|tue|wed,papan_informasi|parkir|spot_foto|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=2924843801|https://loremflickr.com/800/600/waterfall,indonesia?lock=2924843808|https://loremflickr.com/800/600/waterfall,indonesia?lock=2924843814|https://loremflickr.com/800/600/waterfall,indonesia?lock=2924843830",5.0,47,9,30795,3.4,4.84,4.26,1.6,2.68,79.56,08762940214,False,False,
Curug Panganten,curug-panganten,air-terjun,Jawa Barat,Kota Bandung,Kecamatan Sumberrejo,Kelurahan Sumber Mukti,"Curug Panganten, Kota Bandung, Provinsi Jawa Barat, Indonesia",-6.835556,107.565278,0,,True,07:00,17:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=4078461939|https://loremflickr.com/800/600/waterfall,indonesia?lock=4078461946|https://loremflickr.com/800/600/waterfall,indonesia?lock=4078461952|https://loremflickr.com/800/600/waterfall,indonesia?lock=4078461968",5.0,139,28,32022,4.85,4.08,4.11,3.27,1.5,81.02,08666406444,False,False,
Curug Maribaya,curug-maribaya,air-terjun,Jawa Barat,Kota Bandung,Kecamatan Pangalengan,Desa Mulya Sari,"Curug Maribaya, Kota Bandung, Provinsi Jawa Barat, Indonesia",-6.831872,107.656639,0,,True,07:00,18:00,False,fri|mon|sat|sun|thu|tue,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Maribaya_Waterfall_2013_%28008%29.JPG/960px-Maribaya_Waterfall_2013_%28008%29.JPG?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Maribaya%20Waterfall%202013%20%28008%29.JPG?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=701022630|https://loremflickr.com/800/600/waterfall,indonesia?lock=701022637",5.0,75,24,18542,4.92,4.47,4.61,2.78,3.48,75.28,08248132769,False,False,
Air Terjun Lembah Anai,air-terjun-lembah-anai,air-terjun,Sumatera Barat,Padang Pariaman,Kecamatan Tanjungsari,Desa Sumber Rejo,"Air Terjun Lembah Anai, Kabupaten Padang Pariaman, Provinsi Sumatera Barat, Indonesia",-0.483561,100.338569,8851.47,,False,07:00,22:00,False,mon|sat|sun|thu|tue|wed,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Air_Terjun_Lembah_Anai.jpg/960px-Air_Terjun_Lembah_Anai.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Suasana%20jalan%20di%20Air%20Terjun%20Lembah%20Anai.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=1070011538|https://loremflickr.com/800/600/waterfall,indonesia?lock=1070011545",5.0,57,14,41255,3.24,3.27,4.36,2.89,3.79,70.84,08802351868,False,False,
Air Terjun Sedudo,air-terjun-sedudo,air-terjun,Jawa Tengah,Kota Surakarta,Kecamatan Kedawung,Kampung Mekar Sari,"Air Terjun Sedudo, Kota Surakarta, Provinsi Jawa Tengah, Indonesia",-7.688,111.8,0,,True,08:00,22:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/id/thumb/5/57/Sedudo.jpg/960px-Sedudo.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://loremflickr.com/800/600/waterfall,indonesia?lock=2421951502|https://loremflickr.com/800/600/waterfall,indonesia?lock=2421951509|https://loremflickr.com/800/600/waterfall,indonesia?lock=2421951515",5.0,31,14,22761,3.83,3.66,4.26,1.88,2.03,79.26,08703141239,False,False,
Air Terjun Coban Rondo,air-terjun-coban-rondo,air-terjun,Jawa Timur,Batu,Kecamatan Sumberrejo,Kampung Tegal Rejo,"Air Terjun Coban Rondo, Kabupaten Batu, Provinsi Jawa Timur, Indonesia",-7.884961,112.4773,6750.01,11886.52,False,07:00,19:00,False,fri|mon|sat|sun|thu|tue,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Air_Terjun_Coban_Rondo.jpg/960px-Air_Terjun_Coban_Rondo.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Coban%20Rondo.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=2373856704|https://loremflickr.com/800/600/waterfall,indonesia?lock=2373856711",5.0,122,45,61900,3.17,3.86,4.89,2.98,3.16,76.16,08254656838,False,False,
Air Terjun Silancur,air-terjun-silancur,air-terjun,Jawa Tengah,Kebumen,Kecamatan Tanjungsari,Kelurahan Babakan,"Air Terjun Silancur, Kabupaten Kebumen, Provinsi Jawa Tengah, Indonesia",-7.550472,109.729944,13546.95,21295.96,False,06:00,18:00,False,fri|mon|sat|sun|thu|wed,papan_informasi|parkir|solo|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Curug_Silancur.jpg/960px-Curug_Silancur.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://loremflickr.com/800/600/waterfall,indonesia?lock=3801857790|https://loremflickr.com/800/600/waterfall,indonesia?lock=3801857797|https://loremflickr.com/800/600/waterfall,indonesia?lock=3801857803",5.0,222,38,89823,4.5,3.23,4.72,1.92,3.02,76.23,08578713146,False,True,
Grojogan Sewu,grojogan-sewu,air-terjun,Jawa Tengah,Kota Surakarta,Kecamatan Pangalengan,Kampung Rancabango,"Grojogan Sewu, Kota Surakarta, Provinsi Jawa Tengah, Indonesia",-7.660556,111.130278,0,,True,07:00,18:00,False,fri|mon|sat|sun|thu|tue|wed,papan_informasi|pasangan|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Grojogan_sewu.jpg/960px-Grojogan_sewu.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/GrojoganSewu.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=3111205514|https://loremflickr.com/800/600/waterfall,indonesia?lock=3111205521",5.0,52,14,41248,4.62,4.08,4.68,3.91,2.18,84.11,08352436347,False,False,
Air Terjun Sawangan,air-terjun-sawangan,air-terjun,Jawa Tengah,Kebumen,Kecamatan Karanganyar,Desa Wonokerto,"Air Terjun Sawangan, Kabupaten Kebumen, Provinsi Jawa Tengah, Indonesia",-7.756778,109.398333,11631.11,15590.38,False,08:00,19:00,False,fri|mon|sat|sun|thu|tue|wed,papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/id/thumb/8/84/WP_20160206_14_46_37_Pro.jpg/960px-WP_20160206_14_46_37_Pro.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://loremflickr.com/800/600/waterfall,indonesia?lock=2244157703|https://loremflickr.com/800/600/waterfall,indonesia?lock=2244157710|https://loremflickr.com/800/600/waterfall,indonesia?lock=2244157716",5.0,83,35,33238,4.29,3.98,4.39,3.4,3.23,78.65,08785747930,False,False,
Air Terjun Wenyef,air-terjun-wenyef,air-terjun,Maluku,Maluku Tengah,Kecamatan Medang,Kelurahan Sumber Mukti,"Air Terjun Wenyef, Kabupaten Maluku Tengah, Provinsi Maluku, Indonesia",-0.455833,132.677222,9817.57,13504.24,False,07:00,19:00,False,fri|mon|sun|thu|tue|wed,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=229498621|https://loremflickr.com/800/600/waterfall,indonesia?lock=229498628|https://loremflickr.com/800/600/waterfall,indonesia?lock=229498634|https://loremflickr.com/800/600/waterfall,indonesia?lock=229498650",5.0,345,82,277825,4.07,3.55,4.07,1.95,1.54,68.16,08884786401,False,False,
Air Terjun Lubuk Tempurung,air-terjun-lubuk-tempurung,air-terjun,Sumatera Barat,Kota Padang,Kecamatan Wonosari,Desa Cipedes,"Air Terjun Lubuk Tempurung, Kota Padang, Provinsi Sumatera Barat, Indonesia",-0.863024,100.432033,0,,True,06:00,18:00,False,fri|mon|sun|thu|tue|wed,gazebo|papan_informasi|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=32297192|https://loremflickr.com/800/600/waterfall,indonesia?lock=32297199|https://loremflickr.com/800/600/waterfall,indonesia?lock=32297205|https://loremflickr.com/800/600/waterfall,indonesia?lock=32297221",5.0,5,1,3151,3.86,4.14,4.89,2.24,2.97,88.15,08444318855,False,False,
Air Terjun Pancaro Rayo,air-terjun-pancaro-rayo,air-terjun,Jambi,Kerinci,Kecamatan Medang,Kampung Sumber Mukti,"Air Terjun Pancaro Rayo, Kabupaten Kerinci, Provinsi Jambi, Indonesia",-2.186647,101.43834,0,,True,07:00,19:00,False,fri|mon|sat|sun|thu|tue|wed,papan_informasi|parkir|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=411499870|https://loremflickr.com/800/600/waterfall,indonesia?lock=411499877|https://loremflickr.com/800/600/waterfall,indonesia?lock=411499883|https://loremflickr.com/800/600/waterfall,indonesia?lock=411499899",5.0,153,35,75917,3.28,3.12,4.07,1.87,2.16,67.45,08338893693,False,False,
Air Terjun Talang Kemulun,air-terjun-talang-kemulun,air-terjun,Jambi,Kerinci,Kecamatan Sumberjaya,Kampung Cikalong,"Air Terjun Talang Kemulun, Kabupaten Kerinci, Provinsi Jambi, Indonesia",-2.048295,101.61009,6596.07,11583.72,False,08:00,17:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=1004050952|https://loremflickr.com/800/600/waterfall,indonesia?lock=1004050959|https://loremflickr.com/800/600/waterfall,indonesia?lock=1004050965|https://loremflickr.com/800/600/waterfall,indonesia?lock=1004050981",5.0,6,2,4785,4.27,3.98,4.9,1.95,2.96,89.47,08174415140,False,False,
Air Terjun Bajuin,air-terjun-bajuin,air-terjun,Kalimantan Tengah,Kota Palangka Raya,Kecamatan Medang,Kelurahan Mekar Sari,"Air Terjun Bajuin, Kota Palangka Raya, Provinsi Kalimantan Tengah, Indonesia",-3.769922,114.874721,1864.18,,False,07:00,17:00,False,sat|sun,gazebo|keluarga|papan_informasi|spot_foto,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Air_Terjun_Bajuin.jpg/960px-Air_Terjun_Bajuin.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Bajuin.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=2401255960|https://loremflickr.com/800/600/waterfall,indonesia?lock=2401255967",5.0,62,21,35812,3.24,4.95,4.91,2.6,3.25,83.48,08646702160,False,False,
Curug Bayan,curug-bayan,air-terjun,Jawa Tengah,Cilacap,Kecamatan Pondok,Kampung Cikalong,"Curug Bayan, Kabupaten Cilacap, Provinsi Jawa Tengah, Indonesia",-7.324619,109.218251,0,,True,06:00,18:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Curug_Bayan_%282026%29_01.jpg/960px-Curug_Bayan_%282026%29_01.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Curug%20Bayan%20%282026%29%2001.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=2427710976|https://loremflickr.com/800/600/waterfall,indonesia?lock=2427710983",5.0,12,3,6855,5.0,3.98,4.14,2.25,2.97,84.63,08788665981,False,False,
Air Terjun Sigerincing,air-terjun-sigerincing,air-terjun,Jambi,Merangin,Kecamatan Babakan,Kelurahan Rancabango,"Air Terjun Sigerincing, Kabupaten Merangin, Provinsi Jambi, Indonesia",-2.378309,101.907754,17186.84,27068.83,False,07:00,17:00,False,fri|mon|sat|sun|tue|wed,gazebo|papan_informasi|parkir,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Air_Terjun_Sigerincing_Merangin.jpg/960px-Air_Terjun_Sigerincing_Merangin.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Sigerincing%20Merangin.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=3393314623|https://loremflickr.com/800/600/waterfall,indonesia?lock=3393314630",5.0,42,9,33334,3.94,4.94,4.29,3.14,1.89,81.8,08185921894,False,True,
Air Terjun Jami,air-terjun-jami,air-terjun,Sulawesi Selatan,Maros,Kecamatan Gamping,Kelurahan Wonokerto,"Air Terjun Jami, Kabupaten Maros, Provinsi Sulawesi Selatan, Indonesia",-5.142617,119.806867,2862.35,3447.02,False,06:00,22:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|parkir|spot_foto|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=4172040012|https://loremflickr.com/800/600/waterfall,indonesia?lock=4172040019|https://loremflickr.com/800/600/waterfall,indonesia?lock=4172040025|https://loremflickr.com/800/600/waterfall,indonesia?lock=4172040041",5.0,5,1,4186,4.59,3.34,3.97,2.83,2.91,77.38,08597022335,False,True,
Air Terjun Banyumala,air-terjun-banyumala,air-terjun,Bali,Buleleng,Kecamatan Tegal,Kelurahan Mulya Sari,"Air Terjun Banyumala, Kabupaten Buleleng, Provinsi Bali, Indonesia",-8.217187,115.101681,18058.7,29644.18,False,06:00,18:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|papan_informasi|pasangan|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Banyumala_Waterfall.jpg/960px-Banyumala_Waterfall.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Banyumala%20Waterfall.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=2593506157|https://loremflickr.com/800/600/waterfall,indonesia?lock=2593506164",5.0,194,33,151250,3.02,4.73,3.83,3.58,2.49,70.62,08363217273,False,False,
Air Terjun Tiu Kelep,air-terjun-tiu-kelep,air-terjun,Nusa Tenggara Barat,Lombok Utara,Kecamatan Kedawung,Desa Sukamulya,"Air Terjun Tiu Kelep, Kabupaten Lombok Utara, Provinsi Nusa Tenggara Barat, Indonesia",-8.305494,116.408122,1505.99,2320.82,False,08:00,22:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Tiu_Kelep.jpg/960px-Tiu_Kelep.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Tiu%20Kelep.jpg?width=800|https://loremflickr.com/800/600/waterfall,indonesia?lock=3449972754|https://loremflickr.com/800/600/waterfall,indonesia?lock=3449972761",5.0,244,77,126196,4.83,4.89,4.4,2.18,1.91,71.35,08826503032,False,False,
Air terjun Anenderat,air-terjun-anenderat,air-terjun,Maluku,Maluku Tengah,Kecamatan Tegal,Kampung Margasari,"Air terjun Anenderat, Kabupaten Maluku Tengah, Provinsi Maluku, Indonesia",-0.870556,132.735556,10750.93,18916.31,False,08:00,22:00,False,sat|sun,papan_informasi|parkir|spot_foto|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=952867471|https://loremflickr.com/800/600/waterfall,indonesia?lock=952867478|https://loremflickr.com/800/600/waterfall,indonesia?lock=952867484|https://loremflickr.com/800/600/waterfall,indonesia?lock=952867500",5.0,2,1,698,4.3,3.23,4.56,2.66,3.25,80.49,08987162857,False,False,
Air Terjun Sinar Petir,air-terjun-sinar-petir,air-terjun,Lampung,Tanggamus,Kecamatan Pondok,Desa Tegal Rejo,"Air Terjun Sinar Petir, Kabupaten Tanggamus, Provinsi Lampung, Indonesia",-5.542896,104.848969,6670.18,,False,06:00,17:00,False,fri|mon|sat|thu|tue|wed,anak|parkir|spot_foto|warung_makan,"https://upload.wikimedia.org/wikipedia/id/c/c5/Air_Terjun_Sinar_Petir.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled|https://loremflickr.com/800/600/waterfall,indonesia?lock=3132627924|https://loremflickr.com/800/600/waterfall,indonesia?lock=3132627931|https://loremflickr.com/800/600/waterfall,indonesia?lock=3132627937",5.0,5,2,1082,4.9,4.65,3.87,2.19,3.92,70.05,08416431983,False,False,
Air Terjun Lae Mbilulu,air-terjun-lae-mbilulu,air-terjun,Aceh,Aceh Tenggara,Kecamatan Kedawung,Kampung Wonokerto,"Air Terjun Lae Mbilulu, Kabupaten Aceh Tenggara, Provinsi Aceh, Indonesia",2.610873,98.349114,867.3,,False,08:00,19:00,False,fri|mon|sat|sun|thu|tue|wed,gazebo|papan_informasi|parkir|pasangan|spot_foto,"https://loremflickr.com/800/600/waterfall,indonesia?lock=4122462052|https://loremflickr.com/800/600/waterfall,indonesia?lock=4122462059|https://loremflickr.com/800/600/waterfall,indonesia?lock=4122462065|https://loremflickr.com/800/600/waterfall,indonesia?lock=4122462081",5.0,133,33,114473,4.49,3.95,3.86,3.35,2.82,75.45,08527390515,False,False,
Air terjun napua wamena,air-terjun-napua-wamena,air-terjun,Papua Pegunungan,Jayawijaya,Kecamatan Gamping,Kampung Cipedes,"Air terjun napua wamena, Kabupaten Jayawijaya, Provinsi Papua Pegunungan, Indonesia",-4.117792,138.892242,0,,True,07:00,22:00,False,sat|sun,gazebo|papan_informasi|parkir|spot_foto|warung_makan,"https://loremflickr.com/800/600/waterfall,indonesia?lock=1363256184|https://loremflickr.com/800/600/waterfall,indonesia?lock=1363256191|https://loremflickr.com/800/600/waterfall,indonesia?lock=1363256197|https://loremflickr.com/800/600/waterfall,indonesia?lock=1363256213",5.0,116,23,58593,4.4,4.71,4.34,3.01,1.75,83.2,08272006313,False,False,
